Linux,2.6.32-21-generic,(niuhicore2),	03/29/2011,	_x86_64_	(16,CPU)

12:00:01,AM,CPU,%usr,%nice,%sys,%iowait,%steal,%irq,%soft,%guest,%idle
01:15:01,AM,6,4.75,0.01,0.52,30.46,0.00,0.00,0.12,0.00,64.14
01:15:01,AM,7,4.59,0.00,0.56,25.01,0.00,0.00,0.13,0.00,69.71
01:15:01,AM,8,4.53,0.00,0.75,4.08,0.00,0.00,0.12,0.00,90.51
01:15:01,AM,9,5.26,0.01,0.59,27.92,0.00,0.00,0.12,0.00,66.10
01:15:01,AM,10,4.74,0.00,0.47,19.58,0.00,0.00,0.13,0.00,75.08
01:15:01,AM,11,3.83,0.01,0.62,33.49,0.00,0.00,0.09,0.00,61.95
01:15:01,AM,12,4.59,0.00,0.35,5.14,0.00,0.00,0.15,0.00,89.77
01:15:01,AM,13,4.71,0.00,0.47,27.79,0.00,0.00,0.08,0.00,66.96
01:15:01,AM,14,5.69,0.01,0.68,32.25,0.00,0.00,0.13,0.00,61.25
01:15:01,AM,15,4.28,0.02,0.48,26.25,0.00,0.00,0.09,0.00,68.87
01:25:01,AM,all,5.02,0.01,0.59,2.03,0.00,0.01,0.17,0.00,92.17
01:25:01,AM,0,7.09,0.02,0.91,5.43,0.00,0.05,0.35,0.00,86.16
01:25:01,AM,1,5.86,0.00,0.71,1.66,0.00,0.00,0.21,0.00,91.56
01:25:01,AM,2,5.61,0.00,0.51,1.37,0.00,0.00,0.13,0.00,92.38
01:25:01,AM,3,5.18,0.00,0.43,1.14,0.00,0.00,0.14,0.00,93.11
01:25:01,AM,4,6.69,0.04,1.24,8.35,0.00,0.00,0.36,0.00,83.32
01:25:01,AM,5,5.56,0.01,0.55,1.34,0.00,0.00,0.16,0.00,92.38
01:25:01,AM,6,4.45,0.00,0.45,0.66,0.00,0.00,0.11,0.00,94.33
01:25:01,AM,7,4.87,0.00,0.55,1.31,0.00,0.00,0.13,0.00,93.13
01:25:01,AM,8,4.46,0.00,0.58,2.80,0.00,0.05,0.25,0.00,91.87
01:25:01,AM,9,4.57,0.01,0.47,0.99,0.00,0.00,0.12,0.00,93.84
01:25:01,AM,10,4.19,0.03,0.52,1.59,0.00,0.00,0.10,0.00,93.57
01:25:01,AM,11,3.77,0.01,0.41,1.20,0.00,0.00,0.09,0.00,94.52
01:25:01,AM,12,3.59,0.01,0.48,0.42,0.00,0.00,0.10,0.00,95.39
01:25:01,AM,13,3.68,0.04,0.51,1.43,0.00,0.00,0.11,0.00,94.24
01:25:01,AM,14,6.58,0.00,0.72,1.89,0.00,0.00,0.23,0.00,90.57
01:25:01,AM,15,4.13,0.01,0.49,0.93,0.00,0.00,0.10,0.00,94.35
01:35:01,AM,all,4.51,0.01,0.55,0.52,0.00,0.01,0.14,0.00,94.25
01:35:01,AM,0,6.47,0.02,0.80,1.84,0.00,0.06,0.35,0.00,90.46
01:35:01,AM,1,5.46,0.01,0.73,0.39,0.00,0.00,0.19,0.00,93.22
01:35:01,AM,2,4.62,0.00,0.60,0.40,0.00,0.00,0.15,0.00,94.22
01:35:01,AM,3,5.39,0.00,0.46,0.32,0.00,0.00,0.16,0.00,93.67
01:35:01,AM,4,5.08,0.02,0.92,2.27,0.00,0.00,0.25,0.00,91.47
01:35:01,AM,5,4.81,0.00,0.51,0.44,0.00,0.00,0.14,0.00,94.11
01:35:01,AM,6,4.79,0.00,0.43,0.22,0.00,0.00,0.13,0.00,94.43
01:35:01,AM,7,3.57,0.00,0.35,0.25,0.00,0.00,0.09,0.00,95.74
01:35:01,AM,8,4.00,0.02,0.60,0.48,0.00,0.02,0.15,0.00,94.73
01:35:01,AM,9,4.98,0.04,0.63,0.34,0.00,0.00,0.12,0.00,93.89
01:35:01,AM,10,3.81,0.01,0.38,0.31,0.00,0.00,0.10,0.00,95.38
01:35:01,AM,11,2.91,0.01,0.43,0.21,0.00,0.00,0.07,0.00,96.38
01:35:01,AM,12,3.00,0.00,0.39,0.02,0.00,0.00,0.08,0.00,96.51
01:35:01,AM,13,4.77,0.03,0.58,0.35,0.00,0.00,0.11,0.00,94.15
01:35:01,AM,14,5.39,0.01,0.67,0.30,0.00,0.00,0.16,0.00,93.47
01:35:01,AM,15,3.13,0.02,0.31,0.22,0.00,0.00,0.08,0.00,96.25
01:45:01,AM,all,4.71,0.01,0.57,0.82,0.00,0.01,0.17,0.00,93.71
01:45:01,AM,0,6.62,0.04,0.86,3.40,0.00,0.07,0.38,0.00,88.63
01:45:01,AM,1,5.35,0.01,0.63,0.47,0.00,0.01,0.19,0.00,93.34
01:45:01,AM,2,5.12,0.00,0.64,0.38,0.00,0.01,0.18,0.00,93.67
01:45:01,AM,3,3.96,0.00,0.37,0.47,0.00,0.00,0.13,0.00,95.07
01:45:01,AM,4,6.55,0.02,1.14,3.93,0.00,0.00,0.47,0.00,87.90
01:45:01,AM,5,5.39,0.00,0.63,0.63,0.00,0.00,0.15,0.00,93.20
01:45:01,AM,6,5.11,0.00,0.41,0.62,0.00,0.00,0.15,0.00,93.70
01:45:01,AM,7,4.16,0.00,0.43,0.31,0.00,0.00,0.11,0.00,94.99
01:45:01,AM,8,3.39,0.01,0.58,0.16,0.00,0.00,0.13,0.00,95.73
01:45:01,AM,9,4.30,0.03,0.54,0.35,0.00,0.00,0.11,0.00,94.66
01:45:01,AM,10,3.59,0.02,0.69,0.31,0.00,0.00,0.11,0.00,95.26
01:45:01,AM,11,4.15,0.02,0.38,0.38,0.00,0.00,0.11,0.00,94.95
01:45:01,AM,12,3.75,0.01,0.33,0.01,0.00,0.00,0.10,0.00,95.80
01:45:01,AM,13,4.90,0.02,0.56,0.44,0.00,0.00,0.13,0.00,93.94
01:45:01,AM,14,5.29,0.00,0.60,0.68,0.00,0.00,0.15,0.00,93.28
01:45:01,AM,15,3.77,0.02,0.39,0.50,0.00,0.00,0.09,0.00,95.25
01:55:01,AM,all,4.57,0.01,0.54,0.55,0.00,0.00,0.15,0.00,94.17
01:55:01,AM,0,6.46,0.03,0.77,1.52,0.00,0.02,0.26,0.00,90.94
01:55:01,AM,1,5.57,0.01,0.65,0.28,0.00,0.00,0.18,0.00,93.31
01:55:01,AM,2,4.90,0.00,0.43,0.36,0.00,0.00,0.13,0.00,94.17
01:55:01,AM,3,5.20,0.00,0.40,0.18,0.00,0.00,0.15,0.00,94.07
01:55:01,AM,4,6.09,0.01,0.98,2.10,0.00,0.00,0.32,0.00,90.50
01:55:01,AM,5,5.87,0.01,0.65,0.32,0.00,0.00,0.15,0.00,93.01
01:55:01,AM,6,3.71,0.00,0.29,0.15,0.00,0.00,0.12,0.00,95.72
01:55:01,AM,7,3.07,0.00,0.39,0.31,0.00,0.00,0.10,0.00,96.13
01:55:01,AM,8,4.17,0.01,0.57,1.38,0.00,0.04,0.21,0.00,93.62
01:55:01,AM,9,3.61,0.02,0.54,0.27,0.00,0.00,0.14,0.00,95.41
01:55:01,AM,10,3.55,0.00,0.40,0.12,0.00,0.00,0.10,0.00,95.83
01:55:01,AM,11,4.60,0.01,0.54,0.10,0.00,0.00,0.11,0.00,94.64
01:55:01,AM,12,3.88,0.01,0.36,0.03,0.00,0.00,0.09,0.00,95.63
01:55:01,AM,13,3.77,0.03,0.51,0.28,0.00,0.00,0.11,0.00,95.30
01:55:01,AM,14,6.08,0.01,0.76,0.68,0.00,0.00,0.16,0.00,92.31
01:55:01,AM,15,2.62,0.02,0.37,0.73,0.00,0.00,0.08,0.00,96.19
02:05:01,AM,all,4.61,0.01,0.59,1.36,0.00,0.00,0.16,0.00,93.27
02:05:01,AM,0,5.86,0.04,0.90,5.63,0.00,0.04,0.30,0.00,87.23
02:05:01,AM,1,5.22,0.00,0.61,1.57,0.00,0.00,0.22,0.00,92.37
